"lab.name","lab.genus","lab.family","lab.subfamily","lab.lat","lab.lon","lab.iso"
"Turkic (East-Central Xorasan)","Turkic","Altaic","__","37","59","'kmz'"
"Khanty","Ugric","Uralic","Finno-Ugric","65","65","'kca'"
"Kati (in Afghanistan)","Indic","Indo-European","__","35.5","70","'bsh'"
"Kott","Yeniseian","Yeniseian","__","57","94","'_31'"
"Katu","Katuic","Austro-Asiatic","Mon-Khmer","15.8333333333","107.583333333","'ktv'"
"Ketapang","Malayic","Austronesian","__","-1.86666666667","110","'zlm'"
"Katla","Katla-Tima","Niger-Congo","Kordofanian","11.8333333333","29.3333333333","'kcr'"
"Ketengban","Mek","Trans-New Guinea","__","-4.5","140.5","'xte'"
"Kato","Athapaskan","Na-Dene","__","39.6666666667","-123.666666667","'ktw'"
"Kutchin","Athapaskan","Na-Dene","__","67","-146","'gwi'"
"Kati (in West Papua, Indonesia)","Ok","Trans-New Guinea","__","-5.75","140.916666667","'yon'"
"Naga (Zeme)","Kuki-Chin","Sino-Tibetan","Tibeto-Burman","25.1666666667","93.5","'nzm'"
"Kotoko","Biu-Mandara","Afro-Asiatic","Chadic","11.3333333333","15.3333333333","'aal'"
"Kete","Bantoid","Niger-Congo","Benue-Congo","-7","22.8333333333","'kcv'"
"Koita","Koiarian","Trans-New Guinea","__","-9.33333333333","147.083333333","'kqi'"
"Kituba","Creoles and Pidgins","other","__","-5","17.5","'ktu'"
"Katcha","Kadugli","Kadugli","__","10.8333333333","29.6666666667","'xtc'"
"Raga","Oceanic","Austronesian","Eastern Malayo-Polynesian","-15.5","168.166666667","'lml'"
"Rade","Malayic","Austronesian","__","13","108.5","'rad'"
"Lunda","Bantoid","Niger-Congo","Benue-Congo","-10.6666666667","24","'lun'"
"Rao","Annaberg","Lower Sepik-Ramu","__","-4.75","144.5","'rao'"
"Ralte","Kuki-Chin","Sino-Tibetan","Tibeto-Burman","23.75","92.75","'ral'"
"Rama","Rama","Chibchan","__","11.75","-83.75","'rma'"
"Romani (Ajia Varvara)","Indic","Indo-European","__","38","23.5833333333","'rmn'"
"Rawang","Nungish","Sino-Tibetan","Tibeto-Burman","27.5","97.5","'raw'"
"Rashad","Rashad","Niger-Congo","Kordofanian","11.8333333333","31.05","'ras'"
"Rapanui","Oceanic","Austronesian","Eastern Malayo-Polynesian","-27.1166666667","-109.366666667","'rap'"
"Tausug","Meso-Philippine","Austronesian","__","6","121","'tsg'"
"Yup'ik (Central)","Eskimo","Eskimo-Aleut","__","59.5","-160","'esu'"
"Tewa (Arizona)","Kiowa-Tanoan","Kiowa-Tanoan","__","35.8333333333","-110.416666667","'tew'"
"Mba","Ubangi","Niger-Congo","Adamawa-Ubangi","1","25","'mfc'"
"Tyeraity","Northern Daly","Australian","Daly","-13","130.333333333","'woa'"
"Basque","Basque","Basque","__","43","-3","'eus'"
"Basari","Northern Atlantic","Niger-Congo","Atlantic","12.6666666667","-13","'bsc'"
"British Sign Language","Sign Languages","other","__","52","-1","'bfi'"
"Bislama","Creoles and Pidgins","other","__","-16","168","'bis'"
"Basque (Souletin)","Basque","Basque","__","43.5","-1.5","'eus'"
"Bushoong","Bantoid","Niger-Congo","Benue-Congo","-4.5","21.5","'buf'"
"Berber (Siwa)","Berber","Afro-Asiatic","__","29.1666666667","25.5","'siz'"
"Bashkir","Turkic","Altaic","__","53","58","'bak'"
"Berber (Ayt Seghrouchen Middle Atlas)","Berber","Afro-Asiatic","__","33.3333333333","-4.66666666667","'tzm'"
"Subiya","Bantoid","Niger-Congo","Benue-Congo","-17.75","24.9166666667","'sbs'"
"Doko","Bantoid","Niger-Congo","Benue-Congo","3","23.0833333333","'ngc'"
"Thadou","Kuki-Chin","Sino-Tibetan","Tibeto-Burman","24.4166666667","93.9166666667","'tcz'"
"Dong","Kam-Tai","Tai-Kadai","__","27","109","'doc'"
"Nehan","Oceanic","Austronesian","Eastern Malayo-Polynesian","-4.5","154.2","'nsn'"
"Dolgan","Turkic","Altaic","__","71.25","98","'dlg'"
"Domari","Indic","Indo-European","__","32","35","'rmt'"
"Dobel","Central Malayo-Polynesian","Austronesian","__","-6.25","134.666666667","'kvo'"
"Doyayo","Adamawa","Niger-Congo","Adamawa-Ubangi","8.66666666667","13.0833333333","'dow'"
"Greenlandic (South)","Eskimo","Eskimo-Aleut","__","60","-44","'kal'"
"Negidal","Tungusic","Altaic","__","53","139","'neg'"
"Nederlandse Gebarentaal","Sign Languages","other","__","52.25","5.5","'dse'"
"Doutai","Lakes Plain","Lakes Plain","__","-3.33333333333","138.166666667","'tds'"
"Sulka","Sulka","Sulka","__","-5.08333333333","151.916666667","'sua'"
"Pokot","Nilotic","Nilo-Saharan","Eastern Sudanic","1.5","35.5","'pko'"
"Sui","Kam-Tai","Tai-Kadai","__","26","107.5","'swi'"
"Paakantyi","Pama-Nyungan","Australian","__","-32.5","142.5","'drl'"
"Pokomch","Mayan","Mayan","__","15.4166666667","-90.5","'pob'"
"Ocaina","Huitoto","Huitotoan","__","-2.75","-71.75","'oca'"
"Occitan","Romance","Indo-European","__","44","2","'oci'"
"Harsusi","Semitic","Afro-Asiatic","__","20","56.5","'hss'"
"Harari","Semitic","Afro-Asiatic","__","9.25","42.1666666667","'har'"
"Kullo","North Omotic","Afro-Asiatic","Omotic","6.75","37.0833333333","'gmo'"
"Hre","Bahnaric","Austro-Asiatic","Mon-Khmer","14.6666666667","108.666666667","'hre'"
"Nez Perce","Sahaptian","Penutian","__","46","-116","'nez'"
"Udmurt","Permic","Uralic","Finno-Ugric","57.5","52.5","'udm'"
"Ocuilteco","Otomian","Oto-Manguean","__","18.9166666667","-99.6666666667","'ocu'"
"Sursurunga","Oceanic","Austronesian","Eastern Malayo-Polynesian","-4","152.766666667","'sgz'"
"Supyire","Gur","Niger-Congo","__","11.5","-5.58333333333","'spp'"
"Nevome","Tepiman","Uto-Aztecan","__","31","-112.5","'ood'"
"mrillon","Tupi-Guaran","Tupian","__","3.16666666667","-52.4166666667","'eme'"
"Bawm","Kuki-Chin","Sino-Tibetan","Tibeto-Burman","22.5","92.25","'bgr'"
"Batak","Meso-Philippine","Austronesian","__","10.25","119.083333333","'bya'"
"Bau","Madang","Trans-New Guinea","__","-5.25","145.616666667","'bbd'"
"Bari","Nilotic","Nilo-Saharan","Eastern Sudanic","5","31.6666666667","'bfa'"
"Basa","Bantoid","Niger-Congo","Benue-Congo","3.91666666667","10.5","'bas'"
"Embera Chami","Choco","Choco","__","5","-76","'cmi'"
"Embera","Choco","Choco","__","6.83333333333","-77.1666666667","'emp'"
"Emmi","Western Daly","Australian","Daly","-13.5","130","'amy'"
"Embaloh","Sulawesi","Austronesian","__","1.16666666667","112.333333333","'emb'"
"Xokleng","Ge-Kaingang","Macro-Ge","__","-24.5","-50","'xok'"
"Bafut","Bantoid","Niger-Congo","Benue-Congo","6.25","9.91666666667","'bfd'"
"Bagirmi","Bongo-Bagirmi","Nilo-Saharan","Central Sudanic","11.6666666667","16","'bmi'"
"Bade","West Chadic","Afro-Asiatic","Chadic","12.8333333333","10.5","'bde'"
"Bar","Arawakan","Arawakan","__","1","-67","'bae'"
"Babungo","Bantoid","Niger-Congo","Benue-Congo","6.11666666667","10.4166666667","'bav'"
"Bachamal","Anson Bay","Australian","Daly","-13.1666666667","130.166666667","'wdj'"
